"title","authors","journal","doi","volume","issue","year","abstract"
"Hyperhydration to Improve Kidney Outcomes in Children with Shiga Toxin-Producing E. coli Infection: a multinational embedded cluster crossover randomized trial (the HIKO STEC trial).","Freedman SB||Schnadower D||Estes M||Casper TC||Goldstein SL||Grisaru S||Pavia AT||Wilfond BS||Metheney M||Kimball K||Tarr PI","Trials","10.1186/s13063-023-07379-w","24","1","2023","BACKGROUND: Shiga toxin-producing E. coli (STEC) infections affect children and adults worldwide, and treatment remain solely supportive. Up to 15-20% of children infected by high-risk STEC (i.e., E. coli that produce Shiga toxin 2) develop hemolytic anemia, thrombocytopenia, and kidney failure (i.e., hemolytic uremic syndrome (HUS)), over half of whom require acute dialysis and 3% die. Although no therapy is widely accepted as being able to prevent the development of HUS and its complications, several observational studies suggest that intravascular volume expansion (hyperhydration) may prevent end organ damage. A randomized trial is needed to confirm or refute this hypothesis. METHODS: We will conduct a pragmatic, embedded, cluster-randomized, crossover trial in 26 pediatric institutions to determine if hyperhydration, compared to conservative fluid management, improves outcomes in 1040 children with high-risk STEC infections. The primary outcome is major adverse kidney events within 30 days (MAKE30), a composite measure that includes death, initiation of new renal replacement therapy, or persistent kidney dysfunction. Secondary outcomes include life-threatening, extrarenal complications, and development of HUS. Pathway eligible children will be treated per institutional allocation to each pathway. In the hyperhydration pathway, all eligible children are hospitalized and administered 200% maintenance balanced crystalloid fluids up to targets of 10% weight gain and 20% reduction in hematocrit. Sites in the conservative fluid management pathway manage children as in- or outpatients, based on clinician preference, with the pathway focused on close laboratory monitoring, and maintenance of euvolemia. Based on historical data, we estimate that 10% of children in our conservative fluid management pathway will experience the primary outcome. With 26 clusters enrolling a mean of 40 patients each with an intraclass correlation coefficient of 0.11, we will have 90% power to detect a 5% absolute risk reduction. DISCUSSION: HUS is a devastating illness with no treatment options. This pragmatic study will determine if hyperhydration can reduce morbidity associated with HUS in children with high-risk STEC infection. TRIAL REGISTRATION: ClinicalTrials.gov NCT05219110 . Registered on February 1, 2022."
"Oral rotavirus vaccine shedding as a marker of mucosal immunity.","Lee B||Kader MA||Colgate ER||Carmolli M||Dickson DM||Diehl SA||Alam M||Afreen S||Mychaleckyj JC||Nayak U||Petri WA Jr||Haque R||Kirkpatrick BD","Scientific reports","10.1038/s41598-021-01288-1","11","1","2021","Group A rotaviruses (RVA) remain a leading cause of pediatric diarrhea worldwide, in part due to underperformance of currently approved live-attenuated, oral vaccines in low-and-middle income countries. Improved immune correlates of protection (CoP) for existing oral vaccines and novel strategies to evaluate the performance of next-generation vaccines are needed. Use of oral vaccines as challenge agents in controlled human infection models is a potential approach to CoP discovery that remains underexplored. In a live-attenuated, oral rotavirus vaccine (Rotarix, GlaxoSmithKline) efficacy trial conducted among infants in Dhaka, Bangladesh, we explored the potential for the second dose of the two-dose series to be considered a challenge agent through which RVA immunity could be explored, using fecal virus shedding post-dose 2 as a marker of mucosal immunity. Among 180 vaccinated infants who completed the parent study per protocol, the absence of fecal vaccine shedding following the second dose of Rotarix suggested intestinal mucosal immunity generated by the first dose and a decreased risk of RVA diarrhea through 2 years of life (RR 0.616, 95% CI 0.392-0.968). Further development of controlled human infection models for group A rotaviruses, especially in prospective studies with larger sample sizes, may be a promising tool to assess rotavirus vaccine efficacy and CoPs."
"Randomized Controlled Trial of the Cholera-Hospital-Based-Intervention-for-7-Days (CHoBI7) Cholera Rapid Response Program to Reduce Diarrheal Diseases in Bangladesh.","George CM||Parvin T||Bhuyian MSI||Uddin IM||Zohura F||Masud J||Monira S||Sack DA||Perin J||Alam M||Faruque ASG","International journal of environmental research and public health","10.3390/ijerph191912905","19","19","2022","(a) Objective: To build an evidence base on effective water, sanitation, and hygiene interventions to reduce diarrheal diseases in cholera hotspots, we developed the CHoBI7 Cholera Rapid Response Program. (b) Methods: Once a cholera patient (confirmed by bacterial culture) is identified at a health facility, a health promoter delivers a targeted WASH intervention to the cholera hotspot (households within 20 m of a cholera patient) through both in-person visits during the first week and bi-weekly WASH mobile messages for the 3-month program period. A randomized controlled trial of the CHoBI7 Cholera Rapid Response Program was conducted with 284 participants in 15 cholera hotspots around cholera patients in urban Dhaka, Bangladesh. This program was compared to the standard message in Bangladesh on the use of oral rehydration solution for dehydration. Five-hour structured observation of handwashing with soap and diarrhea surveillance was conducted monthly. (c) Findings: Handwashing with soap at food- and stool-related events was significantly higher in the CHoBI7 Cholera Rapid Response Program arm compared to the standard message arm at all timepoints (overall 54% in the CHoBI7 arm vs. 23% in the standard arm, p < 0.05). Furthermore, there was a significant reduction in diarrheal prevalence for all participants (adults and children) (Prevalence Ratio (PR) 0.35, 95% CI: 0.14-0.85) and for children under 5 years of age (PR: 0.27, 95% CI: 0.085-0.87) during the 3-month program. (d) Conclusions: These findings demonstrate that the CHoBI7 Cholera Rapid Response Program is effective in lowering diarrhea prevalence and increasing handwashing with soap for a population at high risk of cholera."
"Fecal microbiota transplant improves cognition in hepatic encephalopathy and its effect varies by donor and recipient.","Bloom PP||Donlan J||Torres Soto M||Daidone M||Hohmann E||Chung RT","Hepatology communications","10.1002/hep4.1950","6","8","2022","Early data suggest fecal microbiota transplant (FMT) may treat hepatic encephalopathy (HE). Optimal FMT donor and recipient characteristics are unknown. We assessed the safety and efficacy of FMT in patients with prior overt HE, comparing five FMT donors. We performed an open-label study of FMT capsules, administered 5 times over 3 weeks. Primary outcomes were change in psychometric HE score (PHES) and serious adverse events (SAEs). Serial stool samples underwent shallow shotgun metagenomic sequencing. Ten patients completed FMT administration and 6-month follow-up. Model for End-Stage Liver Disease (MELD) score did not change after FMT (14 versus 14, p = 0.51). Thirteen minor adverse events and three serious adverse events (two unrelated to FMT) were reported. One SAE was extended-spectrum beta-lactamase Escherichia coli bacteremia. The PHES improved after three doses of FMT (+2.1, p < 0.05), after five doses of FMT (+2.9, p = 0.007), and 4 weeks after the fifth dose of FMT (+3.1, p = 0.02). Mean change in the PHES ranged from -1 to +6 by donor. Two taxa were identified by random forest analysis and confirmed by linear regression to predict the PHES- Bifidobacterium adolescentis (adjusted R(2) = 0.27) and B. angulatum (adjusted R(2) = 0.25)-both short-chain fatty acid (SCFA) producers. Patients who responded to FMT had higher levels of Bifidobacterium as well as other known beneficial taxa at baseline and throughout the study. The FMT donor with poorest cognitive outcomes in recipients had the lowest fecal SCFA levels. Conclusion: FMT capsules improved cognition in HE, with an effect varying by donor and recipient factors (NCT03420482)."
"Efficacy and Safety of BB-12 Supplemented Strawberry Yogurt For Healthy Children on Antibiotics (PLAY ON).","Merenstein D||Sparenborg J||Tan T||D'Amico F||Kumar A||Herbin Smith K","Annals of family medicine","10.1370/afm.22.s1.4765","21","Suppl 3","2024","Context: Probiotics are live microorganisms that, when administered in adequate amounts, confer a health benefit on the host. One of the most common indications for probiotic treatment is the prevention of antibiotic-associated diarrhea (AAD). Unfortunately, many probiotic products used for AAD are not supported by rigorous independent research, and often results in non-evidence-based usage. The overarching objective is to move research forward for the most well-studied Bifidobacterium strain. Objectives: The primary aim is to test the efficacy of high dose, BB-12-supplemented yogurt in preventing AAD, compared to yogurt without BB-12, in children receiving antibiotics. Other aims are to further assess the safety of yogurt supplemented with BB-12, and to carry out longitudinal community structure and gene expression analysis of fecal microbiota to evaluate the impact of high dose BB-12 in a pediatric population receiving antibiotics. The microbiota includes hundreds of species, and its disruption is hypothesized to be an important factor in the development of AAD. AIM 1: To test the efficacy of high dose, BB-12-supplemented yogurt in preventing AAD, compared to yogurt without BB-12, in children receiving antibiotics. Hypothesis: Children receiving antibiotics who receive the yogurt with BB-12 will demonstrate less diarrhea than those receiving a control yogurt without BB-12. This is a Phase II trial that requires additional safety evaluation of high dose BB-12. Hypotheses 3: Administration of antibiotics will alter the composition and gene expression profile of the gut microbiota in pediatric patients, and concomitant ingestion of BB-12 in yogurt will mitigate the antibiotic-induced disturbance in the gut microbiota, as identified using 16S rRNA and metatranscriptomic profiling. Study Design and Analysis: We will finish in the June 2023 a Phase II, randomized, doubleblinded controlled trial with allocation concealment. Setting: Capital Areal Primary Care Practice Based Research Network. Population Studied: 270 patients, ages 3-12 years, clinically diagnosed with a respiratory infection requiring 7-10 days of antibiotics. Interventions: The two arms are, BB-12-supplemented yogurt and non-supplemented control yogurt, in a 1:1 randomized allocation. Participants of all ages will be asked to consume the same dose, 100 ml, of product per day. The 100 ml serving of probiotic yogurt will deliver >/=1010 CFU of BB-12. The BB-12 probiotic was not be added."
"Clinical efficacy of fecal microbiota transplantation for patients with small intestinal bacterial overgrowth: a randomized, placebo-controlled clinic study.","Xu F||Li N||Wang C||Xing H||Chen D||Wei Y","BMC gastroenterology","10.1186/s12876-021-01630-x","21","1","2021","BACKGROUND: Small intestinal bacterial overgrowth (SIBO) is characterized by the condition that bacteria overgrowth in the small intestine. Fecal microbiota transplantation (FMT) has been applied as an effective tool for reestablishing the structure of gut microbiota. However, whether FMT could be applied as a routine SIBO treatment has not been investigated. METHODS: In this trial, 55 SIBO patients were enrolled. All participants were randomized in two groups, and were given FMT capsule or placebo capsules once a week for 4 consecutive weeks. Measurements including the lactulose hydrogen breath test gastrointestinal symptoms, as well as fecal microbiota diversity were assessed before and after FMT therapy. RESULTS: Gastrointestinal symptoms significantly improved in SIBO patients after treatment with FMT compared to participants in placebo group. The gut microbiota diversity of FMT group had a significant increase, while placebo group showed none. CONCLUSIONS: This study suggests that applying FMT for patients with SIBO can alleviate gastrointestinal symptoms, indicating that FMT may be a promising and novel therapeutic regimen for SIBO. Trial registry This study was retrospectively registered with the Chinese Clinical Trial registry on 2019.7.10 (ID: ChiCTR1900024409, http://www.chictr.org.cn )."
"Effects of local handwashing agents on microbial contamination of the hands in a rural setting in Northwest Ethiopia: a cluster randomised controlled trial.","Gizaw Z||Yalew AW||Bitew BD||Lee J||Bisesi M","BMJ open","10.1136/bmjopen-2021-056411","12","5","2022","OBJECTIVE: To evaluate the effectiveness of handwashing with water and wood ash in reducing faecal contamination of the hands. DESIGN: A cluster randomised controlled trial was employed with two arms: handwashing with water and wood ash versus handwashing with water alone. SETTING: Rural households of East Dembiya District, Central Gondar Zone, Amhara National Regional State, Ethiopia. PARTICIPANTS: 440 mothers and caregivers of children younger than 5 years assigned (1:1, 220 in each group) in clusters, with buffer zones between each cluster. INTERVENTION: Health education on effective handwashing was given to the intervention and control groups. Participants in the intervention group used wood ash of the same quantity (ie, one closed palm). OUTCOME MEASURES: The primary outcome was microbial contamination of the hands, measured by means of Escherichia coli counts before and after handwashing. RESULTS: At baseline, 75.9% and 67.7% of the participants in the intervention and control groups, respectively, had dirt on their fingernails, and the hands of all participants in both groups were contaminated with E. coli. The mean E. coli counts recovered at baseline were 3.07 log10 colony forming unit (CFU)/swab in the intervention group and 3.03 log10 CFU/swab in the control group, while at endline it was 1.4 log10 CFU/swab in the intervention group and 3.02 log10 CFU/swab in the control group. The mean E.coli counts was reduced by 1.65 log10 due to the intervention (difference-in-differences: beta= -1.65, 95% CI= -1.84 to -1.46). CONCLUSION: Two-thirds of the swab samples tested positive for E. coli after handwashing with water and wood ash, which indicates wood ash is not very effective in terms of completely removing micro-organisms on the hands. However, wood ash was significantly better than water alone in reducing the concentration of faecal coliform organisms on the hands. Local health authorities should primarily promote handwashing with soap. However, in the absence of soap, use of wood ash over water alone might be appropriate. TRIAL REGISTRATION NUMBER: PACTR202011855730652."
"Should we treat Blastocystis sp.? A double-blind placebo-controlled randomized pilot trial.","Cobuccio LG||Laurent M||Gardiol C||Wampfler R||Poppert S||Senn N||Eperon G||Genton B||Locatelli I||de Valliere S","Journal of travel medicine","10.1093/jtm/taac143","30","1","2023","BACKGROUND: Blastocystis sp. is a worldwide-distributed protist colonizing the guts of humans and a great variety of animals. It is unclear whether it is just a commensal or an infectious parasite that prompts eradication.The main objective of this study was to evaluate the usefulness of metronidazole in patients with gastrointestinal symptoms harbouring only Blastocystis sp. In addition, we explored whether Blastocystis subtype or concomitant parasitic infection detected by polymerase chain reaction (PCR) may influence treatment outcome. METHODS: We included adults with persistent gastrointestinal symptoms (>14 days) visiting a primary care physician and in whom stool microscopy revealed only Blastocystis sp. Eligible patients were randomized to receive 10 days of metronidazole or placebo, followed by a crossover if still symptomatic. The primary outcome was normal stool consistency. Secondary outcomes were the changes in other abdominal symptoms (bloating, flatulence, abdominal pain, number of daily bowel movements) and general wellbeing. After the clinical phase of the study, Blastocystis subtypes were determined by PCR sequencing and stool samples were tested for 11 other protozoa with an in-house PCR. RESULTS: We screened 581 outpatients for inclusion, of which 50 met the eligibility criteria. There was no difference in the primary outcome, nor any of the secondary outcomes between the subjects treated with metronidazole and placebo.The most frequent Blastocystis subtypes were ST4 (11/36) and ST2 (10/36). The in-house PCR was positive for other protozoa in 25% (10/40) of the patients. We identified Dientamoeba fragilis in 5, Entamoeba dispar in 3 and Cyclospora cayetanensis in 2 patients. Stratified analysis according to Blastocystis subtype or the presence of other protozoa showed no significant difference in treatment outcome with metronidazole or placebo. CONCLUSIONS: Among patients infected with Blastocystis sp., metronidazole, compared with placebo, was not better in improving gastrointestinal symptoms, irrespective of subtype or microscopically undetected coinfection with other protozoa."
"Milk polar lipids favorably alter circulating and intestinal ceramide and sphingomyelin species in postmenopausal women.","Le Barz M||Vors C||Combe E||Joumard-Cubizolles L||Lecomte M||Joffre F||Trauchessec M||Pesenti S||Loizon E||Breyton AE||Meugnier E||Bertrand K||Drai J||Robert C||Durand A||Cuerq C||Gaborit P||Leconte N||Bernalier-Donadille A||Cotte E||Laville M||Lambert-Porcheron S||Ouchchane L||Vidal H||Malpuech-Brugere C||Cheillan D||Michalski MC","JCI insight","10.1172/jci.insight.146161","6","10","2021","BACKGROUNDHigh circulating levels of ceramides (Cer) and sphingomyelins (SM) are associated with cardiometabolic diseases. The consumption of whole fat dairy products, naturally containing such polar lipids (PL), is associated with health benefits, but the impact on sphingolipidome remains unknown.METHODSIn a 4-week randomized controlled trial, 58 postmenopausal women daily consumed milk PL-enriched cream cheese (0, 3, or 5 g of milk PL). Postprandial metabolic explorations were performed before and after supplementation. Analyses included SM and Cer species in serum, chylomicrons, and feces. The ileal contents of 4 ileostomy patients were also explored after acute milk PL intake.RESULTSMilk PL decreased serum atherogenic C24:1 Cer, C16:1 SM, and C18:1 SM species (Pgroup < 0.05). Changes in serum C16+18 SM species were positively correlated with the reduction of cholesterol (r = 0.706), LDL-C (r = 0.666), and ApoB (r = 0.705) (P < 0.001). Milk PL decreased chylomicron content in total SM and C24:1 Cer (Pgroup < 0.001), parallel to a marked increase in total Cer in feces (Pgroup < 0.001). Milk PL modulated some specific SM and Cer species in both ileal efflux and feces, suggesting differential absorption and metabolization processes in the gut.CONCLUSIONMilk PL supplementation decreased atherogenic SM and Cer species associated with the improvement of cardiovascular risk markers. Our findings bring insights on sphingolipid metabolism in the gut, especially Cer, as signaling molecules potentially participating in the beneficial effects of milk PL.TRIAL REGISTRATIONClinicalTrials.gov, NCT02099032, NCT02146339.FUNDINGANR-11-ALID-007-01; PHRCI-2014: VALOBAB, no. 14-007; CNIEL; GLN 2018-11-07; HCL (sponsor)."
"Effects of Polydextrose Supplementation on Intestinal Function in Hemodialysis Patients: A Double-Blind, Randomized, Placebo-Controlled Trial.","Borges NA||Sahiun E||Ribeiro-Alves M||Regis B||Mafra D","Journal of renal nutrition : the official journal of the Council on Renal Nutrition of the National Kidney Foundation","10.1053/j.jrn.2023.06.008","33","6","2023","OBJECTIVES: Intestinal constipation is a frequent complication in hemodialysis (HD) patients. Polydextrose (PDX), a nondigestible oligosaccharide, has been reported as a fermentable fiber with potential benefits. This study aimed to investigate the possible influence of PDX supplementation on intestinal function in HD patients. METHODS: This randomized, double-blind, placebo-controlled trial included 28 patients who received daily oral supplementation with 12 g of PDX or placebo (corn starch) for 2 months. ROME IV criteria were used to define constipation and questionnaires were applied to patient assessment of constipation symptoms (PAC-SYM) and their impact on the patient assessment of constipation quality of life. The Bristol scale was used to assess stool consistency. Commercial Enzyme-Linked Immuno Sorbent Assay kits were used to evaluate the interleukin-6 and tumor necrosis factor-alpha plasma levels. RESULTS: 25 patients completed the study; 16 in the PDX group [7 females, 48.5 years (IQR = 15.5)] and 9 in the control group [3 females, 44.0 years (IQR = 6.0)]. According to ROME IV criteria, 55% of patients were diagnosed with constipation. PAC-SYM faecal symptoms domain was reduced after 2 months of PDX supplementation (P = .004). We also observed a significant reduction in the PAC-QoL-concerns domain (P = .02). The average values for PAC-SYM and patient assessment of constipation quality of lifewere reduced significantly after intervention with PDX. There were no significant changes after the intervention period concerning biochemical variables, food intake, and inflammation markers. No adverse effects were observed during the supplementation period. CONCLUSIONS: The results of the present study suggest that short-term PDX supplementation may have favourable results on intestinal function and the quality of life of chronic kidney disease patients in HD."
"The effect of a microbial ecosystem therapeutic (MET-2) on recurrent Clostridioides difficile infection: a phase 1, open-label, single-group trial.","Kao D||Wong K||Franz R||Cochrane K||Sherriff K||Chui L||Lloyd C||Roach B||Bai AD||Petrof EO||Allen-Vercoe E","The lancet. Gastroenterology & hepatology","10.1016/S2468-1253(21)00007-8","6","4","2021","BACKGROUND: Faecal microbiota transplantation (FMT) is highly effective for recurrent Clostridioides difficile infection but has inherent risks. Microbial Ecosystem Therapeutic 2 (MET-2) is an oral encapsulated formulation of 40 lyophilised bacterial species initially isolated from stool of a healthy donor, but subsequently manufactured independently of donors, eliminating potential risks introduced by changes in donor health. The aim of this study was to determine MET-2 activity, safety, and tolerability. METHODS: This phase 1, open-label, single-group feasibility study was done in Alberta, Canada. The main inclusion criteria were mild to moderate C difficile infection and at least one episode of C difficile infection recurrence (ie, two episodes of C difficile infection) within 12 months. Initial daily treatment was ten oral capsules for 2 days, then three capsules for 8 days. If C difficile infection recurred, a higher dose was offered: 20 capsules for 2 days, then three capsules for 8 days. Patients were followed for adverse events and C difficile infection recurrence up to day 130. The primary outcome was absence of C difficile infection recurrence (fewer than three unformed bowel movements in 24 h persisting for at least 2 days) at day 40 by intention-to-treat analysis. Secondary outcomes were mortality or hospitalisation due to C difficile infection, infections attributed to treatment, nausea, abdominal pain, vomiting, or diarrhoea during treatment, quality of life (C difficile Health Related Quality of Life Questionnaire) before and after treatment, and engrafted MET-2 bacteria in patient stool. Absence of C difficile infection recurrence at day 130 was an exploratory outcome. This study is registered with ClinicalTrials.gov, NCT02865616 FINDINGS: Between Sept 19, 2018, and Feb 28, 2020, we enrolled 19 adult patients with at least two episodes of mild to moderate C difficile infection (median age 65 years [IQR 56-67]; 12 women [63%], seven men [37%]). Recurrent C difficile infection was absent at day 40 in 15 (79%) of 19 patients after initial treatment, increasing to 18 (95%) 40 days after retreatment. No mortality associated with C difficile infection, infections associated with MET-2 treatment, or other serious adverse events were observed. The most common self-limited, mild to moderate symptoms reported during treatment were diarrhoea in 12 (63%) of 19 patients and abdominal cramps in 12 (63%). After MET-2 treatment, quality of life improved significantly, as did alpha diversity in stool microbial composition (p=1.93x10(-6)). MET-2 associated taxa were found in greater abundance in most patients after treatment compared with baseline. 16 (84%) of 19 patients did not have recurrence of C difficile infection by day 130. INTERPRETATION: MET-2 appears to be safe, efficacious, and well tolerated among patients with recurrent C difficile infection. Results must be validated in controlled studies. FUNDING: NuBiyota."
"Use, Acceptability, Performance, and Health Impact of Hollow Fiber Ultrafilters for Water Treatment in Rural Kenyan Households, 2009-2011.","Fagerli K||Gieraltowski L||Nygren B||Foote E||Gaines J||Oremo J||Odhiambo A||Kim S||Quick R","The American journal of tropical medicine and hygiene","10.4269/ajtmh.19-0862","103","1","2020","Diarrheal illness remains a leading cause of morbidity and mortality in children < 5 years in developing countries, and contaminated water contributes to diarrhea risk. To address this problem, a novel hollow fiber ultrafilter (HFU) was developed for household water treatment. To test its impact on water quality and infant health, we conducted a cluster-randomized longitudinal evaluation in 10 intervention and 10 comparison villages in Kenya, attempting to enroll all households with infants (< 12 months old). We conducted a baseline survey, distributed HFUs to intervention households, made biweekly home visits for 1 year to assess water treatment practices and diarrhea in infants, and tested water samples from both groups every 2 months for Escherichia coli. We enrolled 92 infants from intervention households and 74 from comparison households. During the 1-year study period, 45.7% of intervention households and 97.3% of comparison households had at least one stored water sample test positive for E. coli. Compared with comparison households, the odds of E. coli contamination in stored water was lower for intervention households (odds ratio [OR]: 0.42, 95% CI: 0.24, 0.74), but there was no difference in the odds of reported diarrhea in infants, adjusting for covariates (OR: 1.19, 95% CI: 0.74, 1.90). Although nearly all water samples obtained from unprotected sources and filtered by the HFU were free of E. coli contamination, HFUs alone were not effective at reducing diarrhea in infants."
"Effects of Limosilactobacillus reuteri DSM 17938 in neonates exposed to antibiotics: a randomised controlled trial.","Lozar Krivec J||Bratina P||Valcl A||Lozar Manfreda K||Petrovcic A||Benedik E||Obermajer T||Bogovic Matijasic B||Setina U||Rupnik M||Mahnic A||Paro-Panjan D","Beneficial microbes","10.1163/18762891-bja00049","16","2","2024","Perinatal antibiotic exposure potentially leads to gut microbiota dysbiosis, which is associated with functional gastrointestinal disorders (FGIDs). We aimed to investigate the effects of Limosilactobacillus reuteri DSM 17938 supplementation on the development of FGIDs, crying and sleep duration, and the gut microbial composition in infants exposed to antibiotics during the neonatal period. In this randomised, double-blind, placebo-controlled study, we included 89 term neonates treated with antibiotics. Neonates received the study product for six weeks. FGIDs, assessed by the Infant Gastrointestinal Symptom Questionnaire, crying and sleep duration were assessed at four and eight weeks, and six months after enrolment. Faecal samples were collected six weeks and twelve months after enrolment. The gut microbial community composition was analysed using 16S amplicon sequencing and qPCR. The proportion of infants with FGIDs was greater in the control group, although the difference between the groups was significant only six months after enrolment. At all time points, the probiotic group presented a longer sleep duration and shorter crying time than the control group, but the difference was not statistically significant. Probiotic consumption had no significant effect on the gut microbiota composition except for increased L. reuteri DSM 17938 abundance in the probiotic group at six weeks after enrolment. At specific time points after supplementation with L. reuteri DSM 17938, a reduction in the prevalence of FGIDs was observed in the probiotic group. However, no observable effect on the gut microbiota was detected during the intervention. We believe that probiotic supplementation in neonates during and after antibiotic treatment to minimise the negative effects of antibiotics on gut function during this vulnerable period of human development warrants further investigation. The trial is registered at ClinicalTrials.gov (NCT02865564)."
"Promising clinical and immunological efficacy of Bacillus clausii spore probiotics for supportive treatment of persistent diarrhea in children.","Dang HT||Tran DM||Phung TTB||Bui ATP||Vu YH||Luong MT||Nguyen HM||Trinh HT||Nguyen TT||Nguyen AH||Van Nguyen AT","Scientific reports","10.1038/s41598-024-56627-9","14","1","2024","Persistent diarrhea is a severe gastroenteric disease with relatively high risk of pediatric mortality in developing countries. We conducted a randomized, double-blind, controlled clinical trial to evaluate the efficacy of liquid-form Bacillus clausii spore probiotics (LiveSpo CLAUSY; 2 billion CFU/5 mL ampoule) at high dosages of 4-6 ampoules a day in supporting treatment of children with persistent diarrhea. Our findings showed that B. clausii spores significantly improved treatment outcomes, resulting in a 2-day shorter recovery period (p < 0.05) and a 1.5-1.6 folds greater efficacy in reducing diarrhea symptoms, such as high frequency of bowel movement of >/= 3 stools a day, presence of fecal mucus, and diapered infant stool scale types 4-5B. LiveSpo CLAUSY supportive treatment achieved 3 days (p < 0.0001) faster recovery from diarrhea disease, with 1.6-fold improved treatment efficacy. At day 5 of treatment, a significant decrease in blood levels of pro-inflammatory cytokines TNF-alpha, IL-17, and IL-23 by 3.24% (p = 0.0409), 29.76% (p = 0.0001), and 10.87% (p = 0.0036), respectively, was observed in the Clausy group. Simultaneously, there was a significant 37.97% decrease (p = 0.0326) in the excreted IgA in stool at day 5 in the Clausy group. Overall, the clinical study demonstrates the efficacy of B. clausii spores (LiveSpo CLAUSY) as an effective symptomatic treatment and immunomodulatory agent for persistent diarrhea in children.Trial registration: NCT05812820."
"Gut microbiota differs between treatment outcomes early after fecal microbiota transplantation against recurrent Clostridioides difficile infection.","Wei S||Bahl MI||Baunwall SMD||Dahlerup JF||Hvas CL||Licht TR","Gut microbes","10.1080/19490976.2022.2084306","14","1","2022","AbstarctIn fecal microbiota transplantation (FMT) against recurrent Clostridioides difficile infection (CDI), clinical outcomes are usually determined after 8 weeks. We hypothesized that the intestinal microbiota changes earlier than this timepoint, and analyzed fecal samples obtained 1 week after treatment from 64 patients diagnosed with recurrent CDI and included in a randomized clinical trial, where the infection was treated with either vancomycin-preceded FMT (N = 24), vancomycin (N = 16) or fidaxomicin (N = 24). In comparison with non-responders, patients with sustained resolution after FMT had increased microbial alpha diversity, enrichment of Ruminococcaceae and Lachnospiraceae, depletion of Enterobacteriaceae, more pronounced donor microbiota engraftment, and resolution of gut microbiota dysbiosis. We found that a constructed index, based on markers for the identified genera Escherichia and Blautia, successfully predicted clinical outcomes at Week 8, which exemplifies a way to utilize clinically feasible methods to predict treatment failure. Microbiota changes were restricted to patients who received FMT rather than antibiotic monotherapy, indicating that FMT confers treatment response in a different way than antibiotics. We suggest that early identification of microbial community structures after FMT is of clinical value to predict response to the treatment."
"Water exchange-assisted versus carbon dioxide-insufflated single-balloon enteroscopy: a randomized controlled trial.","Liu S||Dong T||Shi Y||Luo H||Xue X||Zhu Y||Wang X||Wang B||Liang S||Pan Y||Guo X||Wu K","Endoscopy","10.1055/a-1459-4571","54","3","2022","BACKGROUND: Single-balloon enteroscopy (SBE) is a valuable but difficult modality for the diagnosis and treatment of small-bowel disease. The water exchange method has the advantage of facilitating intubation during colonoscopy. Here, we evaluated the effects of water exchange on procedure-related variables related to SBE. METHODS: This randomized controlled trial was conducted in a tertiary-care referral center in China. Patients due for attempted total enteroscopy were randomly allocated to undergo water exchange-assisted (water exchange group) or carbon dioxide-insufflated enteroscopy (CO(2) group). All patients were planned to undergo both anterograde and retrograde procedures. The primary outcome was the total enteroscopy rate. Secondary outcomes included the maximal insertion depth, positive findings, procedural time, and adverse events. RESULTS: In total, 110 patients were enrolled, with 55 in each group. Baseline characteristics between the two groups were comparable. Total enteroscopy was achieved in 58.2 % (32/55) of the water exchange group and 36.4 % (20/55) of the control group (P = 0.02). The mean (standard deviation) estimated intubation depth was 521.2 (101.4) cm in the water exchange group and 481.6 (95.2) cm in the CO(2) group (P = 0.04). The insertion time was prolonged in the water exchange group compared with the CO(2) group (178.9 [45.1] minutes vs. 154.2 [27.6] minutes; P < 0.001). Endoscopic findings and adverse events were comparable between the two groups. CONCLUSIONS: The water exchange method improved the total enteroscopy rate and increased the intubation depth during SBE. The use of water exchange did not increase the complications of enteroscopy."
