title,reference,identified through database searching,source,study year,screened,full text screened,relevant intervention,low- or middle-income country,RCT,includes children under 5,authors contacted,authors responded ,mortality data collected,mortality data still available,include
Application of HACCP for development of quality risk management in a water purification system,"Costa, Mayre Aparecida Borges Da, Amanda Lemette Teixeira Brandão, José Carlos Pinto, and Márcio Nele. “Application of HACCP for Development of Quality Risk Management in a Water Purification System.” Brazilian Journal of Pharmaceutical Sciences 58 (2022): e191051. https://doi.org/10.1590/s2175-97902022e191051.",1,New addition,2022,1,0,0,,,,,,,,
"Biosecurity and water, sanitation, and hygiene (WASH) interventions in animal agricultural settings for reducing infection burden, antibiotic use, and antibiotic resistance: a One Health systematic review","Pinto Jimenez, Chris E., Sarai Keestra, Pranav Tandon, et al. “Biosecurity and Water, Sanitation, and Hygiene (WASH) Interventions in Animal Agricultural Settings for Reducing Infection Burden, Antibiotic Use, and Antibiotic Resistance: A One Health Systematic Review.” The Lancet. Planetary Health 7, no. 5 (2023): e418–34. https://doi.org/10.1016/S2542-5196(23)00049-9.",1,New addition,2023,1,0,0,,,,,,,,
"Effect of a behavior change and hardware intervention on safe child feces management practices in rural Odisha, India: a cluster-randomized controlled trial.","Sclar, Gloria D., Valerie Bauza, Alokananda Bisoyi, Fiona Majorin, Hans-Joachim Mosler, and Thomas F. Clasen. “Effect of a Behavior Change and Hardware Intervention on Safe Child Feces Management Practices in Rural Odisha, India: A Cluster-Randomized Controlled Trial.” BMC Public Health 24, no. 1 (2024): 2327. https://doi.org/10.1186/s12889-024-19272-5.",1,New addition,2024,1,0,0,,,,,,,,
Microbial contamination and quantitative microbial risk assessment of high-density polyethylene (HDPE) film sachet drinking water in Ghana,"Angnunavuri, Prosper Naah, Francis Attiogbe, and Bismark Mensah. “Microbial Contamination and Quantitative Microbial Risk Assessment of High-Density Polyethylene (HDPE) Film Sachet Drinking Water in Ghana.” Journal of Water and Health 20, no. 10 (2022): 1587–603. https://doi.org/10.2166/wh.2022.163.",1,New addition,2022,1,0,0,,,,,,,,
A cluster-randomised trial to evaluate an intervention to promote handwashing in rural Nigeria.,"Biran, Adam, S. White, B. Awe, et al. “A Cluster-Randomised Trial to Evaluate an Intervention to Promote Handwashing in Rural Nigeria.” International Journal of Environmental Health Research 32, no. 3 (2022): 579–94. https://doi.org/10.1080/09603123.2020.1788712.",1,New addition,2022,1,0,0,,,,,,,,
"A planetary health model for reducing exposure to faecal contamination in urban informal settlements: Baseline findings from Makassar, Indonesia","French, Matthew A., S. Fiona Barker, Ruzka R. Taruc, et al. “A Planetary Health Model for Reducing Exposure to Faecal Contamination in Urban Informal Settlements: Baseline Findings from Makassar, Indonesia.” Environment International 155 (October 2021): 106679. https://doi.org/10.1016/j.envint.2021.106679.",1,New addition,2021,1,0,0,,,,,,,,
"Accumulation of microbial hazards and assessment of food hygiene associated with broiler chicken processing at open air food markets in Maputo, Mozambique","Lamar, Frederica, Amélia Mondlane-Milisse, Denise R. A. Brito, et al. “Accumulation of Microbial Hazards and Assessment of Food Hygiene Associated with Broiler Chicken Processing at Open Air Food Markets in Maputo, Mozambique.” International Journal of Food Microbiology 427 (January 2025): 110960. https://doi.org/10.1016/j.ijfoodmicro.2024.110960.",1,New addition,2025,1,0,0,,,,,,,,
"Adjudicative efficacy of Bifidobacterium animalis subsp. lactis BLa80 in treating acute diarrhea in children: a randomized, double-blinded, placebo-controlled study.","Chen, Ke, Shanshan Jin, Yu Ma, et al. “Adjudicative Efficacy of Bifidobacterium Animalis Subsp. Lactis BLa80 in Treating Acute Diarrhea in Children: A Randomized, Double-Blinded, Placebo-Controlled Study.” European Journal of Clinical Nutrition 78, no. 6 (2024): 501–8. https://doi.org/10.1038/s41430-024-01428-6.",1,New addition,2024,1,0,0,,,,,,,,
"An outbreak investigation of acute Diarrheal Disease, Nagpur District, Maharashtra, India","Sheoran, Prasoon, A. Rammayyan, H. K. Shukla, T. Dikid, Rajesh Yadav, and S. V. Sodha. “An Outbreak Investigation of Acute Diarrheal Disease, Nagpur District, Maharashtra, India.” Indian Journal of Public Health 65, no. 5 (2021): 14. https://doi.org/10.4103/ijph.IJPH_962_20.",1,New addition,2021,1,0,0,,,,,,,,
Analysing the interlinkage between diarrhoea and drinking water faecal contamination in India,"Kapse, Gaurav, Satish Agnihotri, Pankaj Sekhsaria, and Murali Sastry. “Analysing the Interlinkage between Diarrhoea and Drinking Water Faecal Contamination in India.” Journal of Water and Health 22, no. 6 (2024): 1111–24. https://doi.org/10.2166/wh.2024.109.",1,New addition,2024,1,0,0,,,,,,,,
Antibacterial Efficacy of Moringa oleifera Seeds for Water Purification,,1,New addition,2024,1,0,0,,,,,,,,
Antibiotic use and hygiene interact to influence the distribution of antimicrobial-resistant bacteria in low-income communities in Guatemala,,1,New addition,2020,1,0,0,,,,,,,,
Application of the Human Viral Surrogate Pepper Mild Mottle Virus for Wastewater Fecal Pollution Management,,1,New addition,2022,1,0,0,,,,,,,,
Applying Quantitative Microbial Risk Assessment Model in Developing Appropriate Standards for Irrigation Water,,1,New addition,2020,1,0,0,,,,,,,,
"Assessing drinking water quality in compliance with WHO standards: Analysis of physicochemical and bacteriological parameters in Mogadishu, Somalia",,1,New addition,2025,1,0,0,,,,,,,,
"Assessing potable water quality and identifying areas of waterborne diarrheal and fluorosis health risks using spatial interpolation in Peshawar, Pakistan",,1,New addition,2020,1,0,0,,,,,,,,
"Assessing the drinking water quality of educational institutions at selected locations of district Swat, Pakistan",,1,New addition,2021,1,0,0,,,,,,,,
"Assessment of Drinking Water Quality in Urban Water Supply Systems: The Case of Hawassa City, Ethiopia",,1,New addition,2023,1,0,0,,,,,,,,
"Assessment of groundwater quality for human consumption and its health risks in the Middle Magdalena Valley, Colombia",,1,New addition,2024,1,0,0,,,,,,,,
"Assessment of human faecal contamination on groundwater quality and reporting consequent waterborne diseases in Funtua Metropolis, Katsina State, Nigeria",,1,New addition,2025,1,0,0,,,,,,,,
"Assessment of prevalence and risk factors for intestinal parasitosis, malnutrition, and anemia among school children in Ghindae area, Eritrea",,1,New addition,2020,1,0,0,,,,,,,,
"Assessment of the potability and carcinogenic and non-carcinogenic health risks of drinking water in rural areas of the Amhara region, Ethiopia",,1,New addition,2024,1,0,0,,,,,,,,
Bacteriological composition of groundwater and its role in human health,,1,New addition,2022,1,0,0,,,,,,,,
"Childhood parasitic infections and gastrointestinal illness in indigenous communities at Lake Atitlán, Guatemala",,1,New addition,2021,1,0,0,,,,,,,,
Water Insecurity is Associated with Lack of Viral Suppression and Greater Odds of AIDS-Defining Illnesses Among Adults with HIV in Western Kenya.,,1,New addition,2022,1,0,0,,,,,,,,
Evaluation of the drinking water quality surveillance system in the metropolitan region of Rio de Janeiro,,1,New addition,2021,1,0,0,,,,,,,,
Case-control study of drinking water quality in Yemen; Étude cas-témoin de la qualité de l'eau potable au Yémen,,1,New addition,2024,1,0,0,,,,,,,,
Comparative assessment of the relationship between coliform bacteria and water geochemistry in surface and ground water systems,,1,New addition,2021,1,0,0,,,,,,,,
Comprehensive evaluation of the possible impact of roofing materials on the quality of harvested rainwater for human consumption,,1,New addition,2022,1,0,0,,,,,,,,
Barriers and Enablers to Intervention Uptake and Health Reporting in a Water Intervention Trial in Rural India: a Qualitative Explanatory Study,,1,New addition,2020,1,0,0,,,,,,,,
"Contamination of domestic groundwater systems by verotoxigenic escherichia coli (VTEC), 2003–2019: A global scoping review",,1,New addition,2021,1,0,0,,,,,,,,
"Cryptosporidium spp. in groundwater supplies intended for human consumption – A descriptive review of global prevalence, risk factors and knowledge gaps",,1,New addition,2020,1,0,0,,,,,,,,
"Demonstration of total coliforms and Escherichia coli in drinking water in the borough of the Plateau, city of Savè in Benin",,1,New addition,2020,1,0,0,,,,,,,,
Demonstration of tryptophan-like fluorescence sensor concepts for fecal exposure detection in drinkingwater in remote and resource constrained settings,,1,New addition,2020,1,0,0,,,,,,,,
Detection of enteric bacteria in t w o groundwater sources a n d associated microbial health risks,,1,New addition,2021,1,0,0,,,,,,,,
Development of a community-scale autonomous water purifier (AWP) prototype to remove heavy metals,,1,New addition,2022,1,0,0,,,,,,,,
"GROUND WATER QUALITY AND ITS IMPACT ON HUMAN HEALTH IN DUNGARPUR DISTRICT OF RAJASTHAN, INDIA",,1,New addition,2023,1,0,0,,,,,,,,
"Drinking water quality and health risk assessment of intake and point-of-use water sources in Tano North Municipality, Ghana",,1,New addition,2022,1,0,0,,,,,,,,
"Drinking Water Quality and Public Health in the Kathmandu Valley, Nepal: Coliform Bacteria, Chemical Contaminants, and Health Status of Consumers",,1,New addition,2022,1,0,0,,,,,,,,
Drinking water quality assessment from water dispensers in an educational institution,,1,New addition,2021,1,0,0,,,,,,,,
"Effect of a Homestead Food Production Program on the Prevalence of Diarrhea and Acute Respiratory Infection in Children in Sylhet, Bangladesh: A Cluster-Randomized Controlled Trial.",,1,New addition,2023,1,0,0,,,,,,,,
Effect of a Nutritional Intervention on the Intestinal Microbiota of Vertically HIV-Infected Children: The Pediabiota Study.,,1,New addition,2020,1,0,0,,,,,,,,
Effect of Climate Change and Human Activities on Surface and Ground Water Quality in Major Cities of Pakistan,,1,New addition,2023,1,0,0,,,,,,,,
Effect of Sanitation Improvements on Pathogens and Microbial Source Tracking Markers in the Rural Bangladeshi Household Environment,,1,New addition,2020,1,0,0,,,,,,,,
Effect of sanitation interventions on health outcomes: A systematic review of cluster-randomized controlled trials in rural communities of low-and middle-income countries,,1,New addition,2021,1,0,0,,,,,,,,
"Effects of antibiotic duration on the intestinal microbiota and resistome: The PIRATE RESISTANCE project, a cohort study nested within a randomized trial.",,1,New addition,2021,1,0,0,,,,,,,,
Effects of local handwashing agents on microbial contamination of the hands in a rural setting in Northwest Ethiopia: a cluster randomised controlled trial.,,1,New addition,2022,1,0,0,,,,,,,,
"Faecal and nitrate contamination in the groundwater of Mardan district, Pakistan",,1,New addition,2021,1,0,0,,,,,,,,
The Use of Natural Coagulants to Treat Wastewaters for Agricultural Reuse in Developing Countries,,1,New addition,2020,1,0,0,,,,,,,,
"Stream and well water samples from two rural communities in Ekiti State, Nigeria: assessment of physicochemical parameters, bacteriological quality and public health significance",,1,New addition,2023,1,0,0,,,,,,,,
Study of The Bacteriological Indicators of Water River Pollution in Kufa and Hilla Cityes,,1,New addition,2022,1,0,0,,,,,,,,
"Surface Water Analysis for Physical Parameters, Fecal Indicator Bacteria, and Identification of the Origin of Contamination",,1,New addition,2025,1,0,0,,,,,,,,
"Quantitative Microbial Risk Assessment of Pediatric Infections Attributable to Ingestion of Fecally Contaminated Domestic Soils in Low-Income Urban Maputo, Mozambique",,1,New addition,2021,1,0,0,,,,,,,,
Legionella pneumophila occurrence in drinking water supplied by private wells,,1,New addition,2020,1,0,0,,,,,,,,
Microbial risk assessment of fecal indicator bacteria in a highly polluted river: Santiago-Guadalajara River Basin,,1,New addition,2025,1,0,0,,,,,,,,
"Microbiological analysis of domestic water sources in banda slum of kampala, uganda",,1,New addition,2021,1,0,0,,,,,,,,
Microbiological Quality of Drinking Water and Food in a Rural Community,,1,New addition,2023,1,0,0,,,,,,,,
"Microbiological quality of drinking water from three flood-prone communities along the Odaw River in Accra, Ghana",,1,New addition,2024,1,0,0,,,,,,,,
"Modeling Escherichia coli concentrations for health risk analysis in the Three Gorges Reservoir Region, Chongqing, China",,1,New addition,2024,1,0,0,,,,,,,,
Modelling Escherichia coli concentrations: 45.6 %–78.1 % of China's rivers show poor microbial water quality,,1,New addition,2025,1,0,0,,,,,,,,
Recent developments in waterborne pathogen detection technologies,,1,New addition,2025,1,0,0,,,,,,,,
Screening and Identification of Antibiotic Resistant Gene int1 in Coliforms Isolated From Drinking Water,,1,New addition,2022,1,0,0,,,,,,,,
"Seasonal impact on microbiological quality of drinking water in Solan City of Himachal Pradesh, India",,1,New addition,2023,1,0,0,,,,,,,,
"Physical, chemical and microbiological assessments of drinking water of small-layer farms",,1,New addition,2022,1,0,0,,,,,,,,
"Physico-chemical, bacteriological and health hazard effect analysis of the water in Taladanda Canal, Paradip area, Odisha, India",,1,New addition,2020,1,0,0,,,,,,,,
"Physicochemical and microbial quality of drinking water in slum households of Hawassa City, Ethiopia",,1,New addition,2023,1,0,0,,,,,,,,
Physicochemical and Microbiological Characterization of Effluents from the Mohammed VI University Hospital in Marrakech and Study of TheirImpact on the Environment,,1,New addition,2023,1,0,0,,,,,,,,
Physicochemical and Microbiological Water Quality Assessment of a Northwestern Algerian Dam: Detection of Ichtyopathogenic Bacteria,,1,New addition,2023,1,0,0,,,,,,,,
"Pollution profiling and quality assessment of Bonsa River, Tarkwa Nsuaem, Ghana; toxic element, ecotoxicology, health risk assessment, and multivariate analysis",,1,New addition,2025,1,0,0,,,,,,,,
Potential health hazard of drinking water in restaurants and tea stalls,,1,New addition,2023,1,0,0,,,,,,,,
"Prevalence and prevention of diarrhoea among infants in rural areas of ekiti state, Nigeria",,1,New addition,2021,1,0,0,,,,,,,,
Prevalence of coliform bacterial contamination in cat drinking water in households in Thailand,,1,New addition,2021,1,0,0,,,,,,,,
"Probabilistic human health risk assessment of commercially supplied jar water in Gopalganj municipal area, Bangladesh",,1,New addition,2024,1,0,0,,,,,,,,
Legionella: A Promising Supplementary Indicator of Microbial Drinking Water Quality in Municipal Engineered Water Systems,,1,New addition,2021,1,0,0,,,,,,,,
Environmental exposures and child and maternal gut microbiota in rural Malawi,,1,New addition,2020,1,0,0,,,,,,,,
"Estimation of hepatitis a virus infection prevalence through drinking water supply of primary schools of Sindh, Pakistan",,1,New addition,2020,1,0,0,,,,,,,,
Evaluation of CrAssphage Marker for Tracking Fecal Contamination in River Water in Nepal,,1,New addition,2020,1,0,0,,,,,,,,
Quantitative health risk assessment of microbial hazards from water sources for community and self-supply drinking water systems,,1,New addition,2024,1,0,0,,,,,,,,
"Quantitative microbial risk assessment and seasonality of hepatitis A virus in a river, Southwest Nigeria",,1,New addition,2024,1,0,0,,,,,,,,
Improved Child Feces Management Mediates Reductions in Childhood Diarrhea from an On-Site Sanitation Intervention: Causal Mediation Analysis of a Cluster-Randomized Trial in Rural Bangladesh.,,1,New addition,2024,1,0,0,,,,,,,,
"Microbial contamination survey of environmental fresh and saltwater resources of upolu island, Samoa",,1,New addition,2021,1,0,0,,,,,,,,
Occurrence of Fecal Bacteria and Zoonotic Pathogens in Different Water Bodies: Supporting Water Quality Management,,1,New addition,2022,1,0,0,,,,,,,,
"Occurrence of Giardia duodenalis in selected stations and tributary rivers of Laguna Lake, Philippines",,1,New addition,2021,1,0,0,,,,,,,,
"Examining the microbial composition of natural springs in Bhaderwah, Jammu and Kashmir, India",,1,New addition,2023,1,0,0,,,,,,,,
"Health risk associated with the collection, transport, and storage practices of drinking water by the population of the Dschang city, West-Cameroon",,1,New addition,2022,1,0,0,,,,,,,,
"Human Health Risk Assessment and Water Quality Index of piped water supply system in Gulshan-e-Iqbal Town, Karachi (A Preliminary Town level study)",,1,New addition,2024,1,0,0,,,,,,,,
"Human health risk assessment of heavy metal and pathogenic contamination in surface water of the Punnakayal estuary, South India",,1,New addition,2022,1,0,0,,,,,,,,
Human health risk from groundwater consumption: A case study in the Apaaso-Tafo Community in the Bono East Region of Ghana,,1,New addition,2025,1,0,0,,,,,,,,
"Hydrogeochemical and microbial constituents of groundwater in Lephalale municipality, Limpopo province, South Africa",,1,New addition,2024,1,0,0,,,,,,,,
"Hydrogeochemistry of Surface and Ground Water in Alatening Village, Northwest Region, Cameroon",,1,New addition,2020,1,0,0,,,,,,,,
Impact of nutritional supplementation on environmental enteric dysfunction (EED) in children living in rural areas: a systematic review,,1,New addition,2024,1,0,0,,,,,,,,
"Impact of organic and microbiological pollution on the quality of water in Boussellam Valley and its environment, Setif City, Northeast Algeria",,1,New addition,2022,1,0,0,,,,,,,,
Large-scale survey of seasonal drinking water quality in Malawi using in situ tryptophan-like fluorescence and conventional water quality indicators,,1,New addition,2020,1,0,0,,,,,,,,
Longitudinal Effects of a Sanitation Intervention on Environmental Fecal Contamination in a Cluster-Randomized Controlled Trial in Rural Bangladesh.,,1,New addition,2021,1,0,0,,,,,,,,
Exposure measurement error and the characterization of child exposure to fecal contamination in drinking water,,1,New addition,2020,1,0,0,,,,,,,,
What are the main factors influencing the presence of faecal bacteria pollution in groundwater systems in developing countries?,,1,New addition,2020,1,0,0,,,,,,,,
"Effects of a social norm-based handwashing intervention including handwashing stations, and a handwashing station-only intervention on handwashing with soap in urban Cote d'Ivoire: a cluster randomised controlled trial.",,1,New addition,2021,1,0,0,,,,,,,,
The occurrence and control of waterborne viruses in drinking water treatment: A review,,1,New addition,2021,1,0,0,,,,,,,,
Reduction of Organic Matter and Bacteria in Surface Waters of the Huatanay River using Chitosan Nanoparticles,,1,New addition,2023,1,0,0,,,,,,,,
"Risk factors for viral hepatitis A infection in Gampaha District, Sri Lanka: an unmatched case control study",,1,New addition,2020,1,0,0,,,,,,,,
Seven-year performance of biosand filters in rural Rwanda,,1,New addition,2023,1,0,0,,,,,,,,
"Systematic assessment of SARS-CoV-2 virus in wastewater, rivers and drinking water – A catchment-wide appraisal",,1,New addition,2021,1,0,0,,,,,,,,
Two-year Monitoring of Microbiological Water Quality in Small Water Supply Systems: Implications for Microbial Risk Management,,1,New addition,2024,1,0,0,,,,,,,,
Water Contamination and Human Health Risks in Pakistan: A Review,,1,New addition,2023,1,0,0,,,,,,,,
Water disinfection using Silver and Zinc Oxide Nanoparticles,,1,New addition,2021,1,0,0,,,,,,,,
Removal of fluoride and pathogens from water using the combined electrocoagulation-inline-electrolytic disinfection process,,1,New addition,2023,1,0,0,,,,,,,,
Waterborne outbreaks: a public health concern for rural municipalities with unchlorinated drinking water distribution systems,,1,New addition,2020,1,0,0,0,,,,,,,
Association of bacterial load in drinking water and allergic diseases in childhood.,,1,New addition,2020,1,0,0,0,,,,,,,
Improving environmental cleaning: a stepped wedge cluster trial across thirteen Cambodian hospitals,,1,New addition,2023,1,0,0,,,,,,,,
Effect evaluation of innocent sanitary toilets improvement in rural areas of Jiangsu Province during 2016—2020,,1,New addition,2021,1,0,0,,,,,,,,
"Investigation of an acute diarrhoeal disease outbreak from contaminated drinking water supply, Village A, Patna, Bihar, India July-August 2019",,1,New addition,2021,1,0,0,,,,,,,,
"A 14-Day Double-Blind, Randomized, Controlled Crossover Intervention Study with Anti-Bacterial Benzyl Isothiocyanate from Nasturtium (Tropaeolum majus) on Human Gut Microbiome and Host Defense.",,1,New addition,2024,1,0,0,,,,,,,,
A calorie-restricted diet enriched with tree nuts and peanuts reduces the expression of CX3CR1 in peripheral blood mononuclear cells in patients with coronary artery disease.,,1,New addition,2023,1,0,0,,,,,,,,
"A comparative, randomised MRI study of the physiological and appetitive responses to gelling (alginate) and non-gelling nasogastric tube feeds in healthy men.",,1,New addition,2023,1,0,0,,,,,,,,
A Comparison of Currently Available and Investigational Fecal Microbiota Transplant Products for Recurrent Clostridioides difficile Infection,,1,New addition,2024,1,0,0,,,,,,,,
A Comprehensive Review and Meta-analysis on the Treatment of Acute Gastroenteritis in Children with a Bacillus clausii Preparation (Enterogermina(®)),,1,New addition,2025,1,0,0,,,,,,,,
A diversified dietary pattern is associated with a balanced gut microbial composition of Faecalibacterium and Escherichia/Shigella in patients with Crohn's disease in remission,,1,New addition,2020,1,0,0,,,,,,,,
"A Double-Blind, Randomized Intervention Study on the Effect of a Whey Protein Concentrate on E. coli-Induced Diarrhea in a Human Infection Model.",,1,New addition,2022,1,0,0,,,,,,,,
A meta-Analysis of microbiome therapies for hepatic encephalopathy,,1,New addition,2023,1,0,0,,,,,,,,
A microbiota pattern associated with cardiovascular events in secondary prevention: the CORDIOPREV study,,1,New addition,2025,1,0,0,,,,,,,,
A milestone in screening for adherent-invasive E. coli colonization in patients with Crohn’s disease?,,1,New addition,2021,1,0,0,,,,,,,,
"A Multicenter, Randomized, Double-blind, Placebo-controlled Trial of Saccharomyces boulardii in Infants and Children With Acute Diarrhea.",,1,New addition,2020,1,0,0,,,,,,,,
A Neutropenic Diet in Haemato-Oncological Patients Receiving High-Dose Therapy and Hematopoietic Stem Cell Transplantation: A Systematic Review,,1,New addition,2025,1,0,0,,,,,,,,
A New Approach to Polycystic Ovary Syndrome: The Gut Microbiota,,1,New addition,2020,1,0,0,,,,,,,,
A novel Vi-diphtheria toxoid typhoid conjugate vaccine is safe and can induce immunogenicity in healthy Indonesian children 2-11 years: a phase II preliminary report,,1,New addition,2020,1,0,0,,,,,,,,
A patient-centered approach to dietary supplements for patients with chronic liver disease,,1,New addition,2024,1,0,0,,,,,,,,
A pharmacokinetic evaluation of tenapanor for the treatment of irritable bowel syndrome with constipation: an update of the literature,,1,New addition,2023,1,0,0,,,,,,,,
A Phase II Randomized Clinical Trial and Mechanistic Studies Using Improved Probiotics to Prevent Oral Mucositis Induced by Concurrent Radiotherapy and Chemotherapy in Nasopharyngeal Carcinoma.,,1,New addition,2021,1,0,0,,,,,,,,
A positive diagnostic strategy is safe and saves endoscopies in patients with irritable bowel syndrome: A five-year follow-up of a randomized controlled trial.,,1,New addition,2021,1,0,0,,,,,,,,
"A Randomised, Controlled Trial: Effect of a Multi-Strain Fermented Milk on the Gut Microbiota Recovery after Helicobacter pylori Therapy.",,1,New addition,2021,1,0,0,,,,,,,,
A Randomized Controlled Trial of Efficacy and Safety of Fecal Microbiota Transplant for Preventing Recurrent Clostridioides difficile Infection.,,1,New addition,2025,1,0,0,,,,,,,,
A randomized double-blind trial of clonidine and colesevelam for women with fecal incontinence.,,1,New addition,2024,1,0,0,,,,,,,,
A randomized trial evaluating virus-specific effects of a combination probiotic in children with acute gastroenteritis.,,1,New addition,2020,1,0,0,,,,,,,,
"A Randomized, Double-Blind, Placebo-Controlled Trial to Evaluate the Effects of Multi-Strain Synbiotic in Patients with Functional Diarrhea and High Fecal Calprotectin Levels: A Pilot Study.",,1,New addition,2022,1,0,0,,,,,,,,
A review of latrine front-end characteristics associated with microbial infection risk; reveals a lack of pathogen density data,,1,New addition,2023,1,0,0,,,,,,,,
A review of recommendations for infective endocarditis prevention in patients undergoing transcatheter aortic valve implantation,,1,New addition,2021,1,0,0,,,,,,,,
A short course of oral ranitidine as a novel treatment for toddler's diarrhea: a parallel-group randomized controlled trial,,1,New addition,2020,1,0,0,,,,,,,,
"A short, animated video to improve good COVID-19 hygiene practices: a structured summary of a study protocol for a randomized controlled trial",,1,New addition,2020,1,0,0,,,,,,,,
A Simple Assay to Assess Salmonella Typhimurium Impact on Performance and Immune Status of Growing Pigs after Different Inoculation Doses,,1,New addition,2023,1,0,0,,,,,,,,
"A single presumptive deworming may not suffice to reduce the burden of intestinal parasitic infections during pregnancy in rural Amhara, Ethiopia.",,1,New addition,2025,1,0,0,,,,,,,,
A systematic review and meta-analysis of decontamination methods to prevent hospital environmental contamination and transmission of Clostridioides difficile,,1,New addition,2022,1,0,0,,,,,,,,
A Systematic Review and Meta-Analysis of Randomized Controlled Trials of Fecal Microbiota Transplantation for the Treatment of Inflammatory Bowel Disease,,1,New addition,2022,1,0,0,,,,,,,,
A systematic review of economic evaluation of healthcare associated infection prevention and control interventions in long term care facilities,,1,New addition,2024,1,0,0,,,,,,,,
A systematic review of fluralaner as a treatment for ectoparasitic infections in mammalian species,,1,New addition,2025,1,0,0,,,,,,,,
A systematic review of interventions for alcohol use disorder in patients with cirrhosis or alcohol-related hepatitis,,1,New addition,2023,1,0,0,,,,,,,,
A Systematic Review of Medical Cannabinoids Dosing in Human,,1,New addition,2022,1,0,0,,,,,,,,
A systematic review of the efficacy of herbal medicines in the treatment of acute diarrhea,,1,New addition,2025,1,0,0,,,,,,,,
A systematic review of the safety and efficacy of convalescent plasma or immunoglobulin treatment for people with severe respiratory viral infections due to coronaviruses or influenza,,1,New addition,2023,1,0,0,,,,,,,,
A systematic review on outcome measures of long-term efficacy in clinical trials concerning crohn's disease patients,,1,New addition,2022,1,0,0,,,,,,,,
A tale of two microbes,,1,New addition,2020,1,0,0,,,,,,,,
"A water-soluble tomato extract rich in secondary plant metabolites lowers trimethylamine-n-oxide and modulates gut microbiota: a randomized, double-blind, placebo-controlled cross-over study in overweight and obese adults.",,1,New addition,2023,1,0,0,,,,,,,,
ACID SUPPRESSION THERAPY DOES NOT AFFECT THE EFFICACY AND SAFETY PROFILE OF PLECANATIDE: A PATIENT-LEVEL POOLED ANALYSIS OF TWO LARGE RANDOMIZED CONTROLLED TRIALS IN CHRONIC IDIOPATHIC CONSTIPATION,,1,New addition,2020,1,0,0,,,,,,,,
Acupuncture for ulcerative colitis: a systematic review and meta-analysis of randomized clinical trials,,1,New addition,2020,1,0,0,,,,,,,,
"Acute-on- chronic liver failure: Definition, prognosis and management",,1,New addition,2020,1,0,0,,,,,,,,
Adjuvant use of combination of antibiotics in acute severe ulcerative colitis: A placebo controlled randomized trial.,,1,New addition,2021,1,0,0,,,,,,,,
Advancements in endoscopic management of small-bowel polyps in Peutz–Jeghers syndrome and familial adenomatous polyposis,,1,New addition,2024,1,0,0,,,,,,,,
Advances in chemical and microbial source tracking (MST) of fecal pollution in coastal waters: a review,,1,New addition,2025,1,0,0,,,,,,,,
Advances in the mechanism of action of short-chain fatty acids in psoriasis,,1,New addition,2024,1,0,0,,,,,,,,
Advances in the Relationships Between Cow’s Milk Protein Allergy and Gut Microbiota in Infants,,1,New addition,2021,1,0,0,,,,,,,,
Adverse events in fecal microbiota transplantation: a systematic review and meta-analysis,,1,New addition,2022,1,0,0,,,,,,,,
Adverse events of fecal microbiota transplantation: A meta-analysis of high-quality studies,,1,New addition,2021,1,0,0,,,,,,,,
Adverse events of intestinal microbiota transplantation in randomized controlled trials: a systematic review and meta-analysis,,1,New addition,2022,1,0,0,,,,,,,,
AGA Clinical Practice Guidelines on the Role of Probiotics in the Management of Gastrointestinal Disorders,,1,New addition,2020,1,0,0,,,,,,,,
Air pollution and stunting: a missing link?,,1,New addition,2020,1,0,0,,,,,,,,
Akkermansia muciniphila as a novel powerful bacterial player in the treatment of metabolic disorders,,1,New addition,2022,1,0,0,,,,,,,,
Alcohol Use and Abuse Conspires With HIV Infection to Aggravate Intestinal Dysbiosis and Increase Microbial Translocation in People Living With HIV: A Review,,1,New addition,2021,1,0,0,,,,,,,,
"Alcoholic-related liver disease: Pathogenesis, management and future therapeutic developments",,1,New addition,2021,1,0,0,,,,,,,,
Allogenic faecal microbiota transplantation for antibiotic-associated diarrhoea in critically ill patients (FEBATRICE)-Study protocol for a multi-centre randomised controlled trial (phase II),,1,New addition,2024,1,0,0,,,,,,,,
Allogenic Fecal Microbiota Transplantation in Patients With Nonalcoholic Fatty Liver Disease Improves Abnormal Small Intestinal Permeability: A Randomized Control Trial.,,1,New addition,2020,1,0,0,,,,,,,,
"Alteration of the Gut-Lung Axis After Severe COVID-19 Infection and Modulation Through Probiotics: A Randomized, Controlled Pilot Study.",,1,New addition,2024,1,0,0,,,,,,,,
Altered Gut Microbiota and Short-Chain Fatty Acids After Vonoprazan-Amoxicillin Dual Therapy for Helicobacter pylori Eradication.,,1,New addition,2022,1,0,0,,,,,,,,
An approach to the diagnosis and management of Rome IV functional disorders of chronic constipation,,1,New addition,2020,1,0,0,,,,,,,,
An open randomized multicentre Phase 2 trial to assess the safety of DAV132 and its efficacy to protect gut microbiota diversity in hospitalized patients treated with fluoroquinolones.,,1,New addition,2022,1,0,0,,,,,,,,
An update on prevalence of slow-growing mycobacteria and rapid-growing mycobacteria retrieved from hospital water sources in iran – a systematic review,,1,New addition,2021,1,0,0,,,,,,,,
"An updated review on immune checkpoint inhibitor-induced colitis: epidemiology, pathogenesis, treatment strategies, and the role of traditional Chinese medicine",,1,New addition,2025,1,0,0,,,,,,,,
Animal models applied to acute-on-chronic liver failure: Are new models required to understand the human condition?,,1,New addition,2022,1,0,0,,,,,,,,
